N;P;K;Ca;Mg;B;Cu;Fe;Mn;Zn;Al;Fv
1;1;1;1;1;1;1;1;1;1;1;-1
1;1;1;1;1;1;1;1;1;1;-1;0
0;0;0;0;0;0;0;1;-1;0;0;0
-1;-1;-1;-1;-1;-1;-1;1;1;-1;0;0
0;0;0;0;0;0;-1;0;0;1;0;0
0;0;0;0;0;-1;1;0;0;1;0;0
-1;-1;-1;-1;-1;1;1;0;0;1;0;0
0;0;0;-1;1;0;0;0;0;0;0;0
0;0;-1;1;1;0;0;0;0;0;0;0
-1;-1;1;1;1;0;0;0;0;0;0;0
1;-1;0;0;0;0;0;0;0;0;0;0
