"";"Champs";"Regie";"Soil_type";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"1";"01";"Organic";"Sand";13,6818681318681;9125,2;112;18460,3318961039;1;28,656;20,895;88,177;5,009;245,516;37,611;0;2,024;0;0;4,6;15,8;133;325;1548;91;31;1,6;3,71;2,6;0,6;281,42;1,3;0,11;0,5;1,28;0,28;0,0032;0,00033;0,01264;0,12415;0,0032;0,0112316
"2";"01";"Organic";"Sand";14,1227777777778;8258,6;252;15062;1;38,4;28;91;6;26;50,4;0;2;0;0;4,58;17,8;157,2;335,6;1451,6;88,4;28,6;1,28;3,462;2,38;0,5;291,142;1,1;0,14;0,52;1,22;0,31;0,00275;4e-04;0,01434;0,1181;0,00399;0,0086
"3";"02";"Organic";"Sand";13,6818681318681;9125,2;112;15726,2945898305;1;28,656;20,895;86,177;5,009;244,796;37,611;0;2,024;0;0;4,3;15;198;365;1250;123;42;2,3;5,33;5,7;0,5;363,12;1,2;0,11;0,53;1,26;0,28;0,00323;0,00032;0,01481;0,11763;0,00284;0,0179848
"4";"02";"Organic";"Sand";14,1227777777778;8258,6;252;10138;1;28,8;21;86;5;26;37,8;0;2;0;0;4,52;16,6;156;309,2;1641,4;89;28,6;2,7;4,074;2,9;0,54;290,836;1,1;0,13;0,55;1,03;0,3;0,00243;0,00038;0,01168;0,10896;0,00255;0,0077
"5";"03";"Organic";"Sand";13,6818681318681;9125,2;112;12815,0338309859;0,546666666666667;28,656;20,895;85,177;5,009;239,936;37,611;0;2,024;0;0;4,7;15;154;180;1574;94;29;1,5;3,32;3,2;0,6;326,96;1,1;0,1;0,47;1,15;0,25;0,00305;0,00032;0,01226;0,08532;0,00225;0,01241
"6";"03";"Organic";"Sand";14,1227777777778;8258,6;252;15148;0,546666666666667;24;17,5;83,5;4,5;26;31,5;0;2;0;0;4,6;20,4;178,8;270,2;1554,4;97,6;29,2;1,54;3,358;2,54;0,48;286,684;1;0,12;0,54;0,94;0,25;0,00222;0,00035;0,01242;0,08258;0,00206;0,0074
"7";"04";"Organic";"Sand";13,6818681318681;9125,2;112;26608,8504150943;0,914375908666497;56,832;41,44;103,852;7,944;272,876;74,592;0;2,024;0;0;4,9;14,8;100;45;1543;31;15;0,4;0,52;2;0,4;112,21;1,3;0,11;0,44;1;0,21;0,00228;3e-04;0,00903;0,02437;0,00288;0,0132964
"8";"05";"Organic";"Sand";13,6818681318681;9125,2;112;19433,3013333333;0,87012987012987;28,656;20,895;86,177;5,009;267,296;37,611;0;2,024;0;0;4,8;15,4;142;94;1739;53;17;0,8;0,95;2;0,6;183,64;1,1;0,1;0,47;1,27;0,27;0,00338;0,00035;0,00953;0,06226;0,00259;0,0150554
"9";"05";"Organic";"Sand";14,1227777777778;8258,6;252;10167;0,87012987012987;43,2;31,5;93,5;6,5;26;56,7;0;2;0;0;4,64;16,4;183,2;278,4;1512;87,6;25,2;1,28;2,71;2,24;0,54;289,77;1;0,15;0,64;1,01;0,28;0,00277;0,00038;0,0082;0,05843;0,00261;0,0068
"10";"06";"Organic";"Sand";13,6818681318681;9125,2;112;12986,312375;0,835294117647059;43,344;31,605;92,327;6,539;257,756;56,889;0;2,024;0;0;4,8;14,2;100;105;1520;43;15;0,7;0,92;2;0,5;193,85;1;0,12;0,47;1,2;0,25;0,00287;0,00031;0,00906;0,05517;0,00247;0,016174
"11";"06";"Organic";"Sand";14,1227777777778;8258,6;252;17086;0,835294117647059;43,2;31,5;93,5;6,5;26;56,7;0;2;0;0;4,92;16,6;645,2;263,6;1569,2;79,4;40,2;1,58;2,428;2,78;0,48;264,568;1;0,12;0,55;1;0,25;0,0023;0,00038;0,00873;0,04913;0,00217;0,007
"12";"07";"Organic";"Sand";13,6818681318681;9125,2;112;16817,1119616307;0,9875;28,656;20,895;86,177;5,009;249,296;37,611;0;2,024;0;0;4,6;15;127;126;1707;76;22;1,3;2,74;2;0,5;228,9;1,2;0,1;0,48;1,26;0,28;0,00344;0,00033;0,0124;0,08366;0,00285;0,0140638
"13";"07";"Organic";"Sand";14,1227777777778;8258,6;252;15330;0,9875;38,4;28;91;6;26;50,4;0;2;0;0;4,58;16,4;165,4;236,4;1378,2;93;27,8;1,46;2,434;2,22;0,5;270,7;1,1;0,14;0,57;1,12;0,28;0,00251;0,00043;0,01029;0,0696;0,00305;0,0078
"14";"08";"Organic";"Sand";13,6818681318681;9125,2;112;10837,8026666667;0,971014492753623;28,656;20,895;86,177;5,009;251,996;37,611;0;2,024;0;0;4,5;15,6;143;190;1761;78;22;1,3;2,5;2;0,7;285,66;1,1;0,12;0,46;1,37;0,26;0,00331;0,00032;0,01546;0,06805;0,00261;0,0168654
"15";"08";"Organic";"Sand";14,1227777777778;8258,6;252;13511;0,971014492753623;33,6;24,5;88,5;5,5;26;44,1;0;2;0;0;4,54;16,6;165,4;330;1432,6;92,6;26;1,46;3,05;2,2;0,54;281,112;1,1;0,13;0,55;1,24;0,29;0,00262;0,00041;0,01055;0,06314;0,0028;0,0077
"16";"09";"Organic";"Sand";13,6818681318681;9125,2;112;16613,5584780488;0,986301369863014;28,656;20,895;85,177;5,009;260,636;37,611;0;2,024;0;0;4,5;15;139;386;1732;99;27;1,7;2,81;2;0,6;348,67;1,2;0,11;0,43;1,36;0,29;0,00311;0,00037;0,01408;0,09415;0,00323;0,016525
"17";"09";"Organic";"Sand";14,1227777777778;8258,6;252;13706;0,986301369863014;28,8;21;86;5;26;37,8;0;2;0;0;4,58;16,6;145,8;232,6;1612,4;85;23,8;1,42;2,95;2,5;0,54;257,504;1;0,14;0,57;1,17;0,3;0,00288;0,00042;0,01235;0,08503;0,0031;0,0083
"18";"10";"Organic";"Sand";13,6818681318681;9125,2;112;12041,4240205128;1;28,656;20,895;89,177;5,009;271,076;37,611;0;2,024;0;0;4,4;15,6;155;256;1480;79;25;2;3,15;2,4;0,5;309,65;1,2;0,11;0,43;1,31;0,29;0,00316;4e-04;0,00749;0,06249;0,00273;0,0181142
"19";"10";"Organic";"Sand";14,1227777777778;8258,6;252;20955;1;38,4;28;91;6;26;50,4;0;2;0;0;4,54;16,4;171;262,4;1332,8;93,6;28,4;1,6;2,516;2,3;0,5;286,85;1,1;0,13;0,55;1,26;0,3;0,00291;0,00046;0,01151;0,06185;0,00302;0,0083
"20";"11";"Organic";"Sand";13,6818681318681;9125,2;112;15975,5656116505;0,983606557377049;42,672;31,115;93,477;6,469;258,296;56,007;0;2,024;0;0;4,5;14,2;176;269;1762;91;29;1,4;2,42;2,3;0,4;319,02;1,2;0,11;0,47;1,46;0,28;0,00324;0,00042;0,01115;0,08916;0,00349;0,0139218
"21";"11";"Organic";"Sand";14,1227777777778;8258,6;252;19477;0,983606557377049;38,4;28;91;6;26;50,4;0;2;0;0;4,54;16,4;175,2;311;1486;96,6;29;1,44;2,656;2,28;0,48;286,232;1,2;0,14;0,57;1,25;0,27;0,00239;0,00046;0,01121;0,07462;0,00323;0,008
"22";"12";"Organic";"Sand";13,6818681318681;9125,2;112;11850,5901153846;0,967741935483871;42,144;30,73;94,202;6,414;256,856;55,314;0;2,024;0;0;4,5;14,6;181;227;1681;100;29;1,7;1,84;2,7;0,5;297,16;1,1;0,12;0,52;1,4;0,28;0,00314;0,00037;0,01687;0,0709;0,00298;0,0159736
"23";"12";"Organic";"Sand";14,1227777777778;8258,6;252;20836;0,967741935483871;38,4;28;91;6;26;50,4;0;2;0;0;4,54;16,4;185,4;299;1487,2;97;28,2;1,52;2,59;2,36;0,48;282,5;1,2;0,13;0,52;1,27;0,29;0,00284;0,00046;0,01189;0,08372;0,00326;0,0084
"24";"13";"Organic";"Sand";13,6818681318681;9125,2;112;13919,3022857143;1;41,376;30,17;92,802;6,334;260,996;54,306;0;2,024;0;0;4,6;15;160;325;1705;93;28;1,8;2,73;2;0,5;305,05;1,3;0,12;0,48;1,3;0,25;0,00295;0,00043;0,01346;0,05409;0,003;0,0168854
"25";"13";"Organic";"Sand";14,1227777777778;8258,6;252;15917;1;38,4;28;91;6;26;50,4;0;2;0;0;4,58;16,4;172;276,2;1377,8;96,4;29;1,56;2,432;2,22;0,5;285,93;1,1;0,14;0,54;1,27;0,29;0,00215;0,00044;0,01048;0,05834;0,00319;0,0078
"26";"14";"Organic";"Sand";13,6818681318681;9125,2;112;22582,6388796069;0,9875;42,672;31,115;93,477;6,469;260,996;56,007;0;2,024;0;0;4,6;14,2;196;417;1725;108;27;2,1;2,58;2;1;333,6;1,3;0,11;0,51;1,24;0,28;0,0035;0,00037;0,00871;0,06678;0,00279;0,01535
"27";"14";"Organic";"Sand";14,1227777777778;8258,6;252;20600;0,9875;28,8;21;86;5;26;37,8;0;2;0;0;4,56;16,6;167,6;250;1564,8;94,2;26;1,6;2,674;2,16;0,66;281,33;1,1;0,13;0,55;1,17;0,29;0,0028;0,00041;0,01395;0,07999;0,00309;0,0101
"28";"15";"Organic";"Sand";14,1227777777778;8258,6;252;10183;0,88;28,8;21;86;5;26;37,8;0;2;0;0;4,6;16,6;160,6;285,2;1372,2;95;25,2;1,62;3,442;2,26;0,42;250,33;1;0,14;0,55;0,97;0,27;0,00216;0,00043;0,01184;0,05265;0,00239;0,0086
"29";"16";"Organic";"Sand";14,1227777777778;8258,6;252;17757;0,963414634146341;43,2;31,5;93,5;6,5;26;56,7;0;2;0;0;4,74;16,4;160;225,8;1328;85,6;26,4;1,3;2,364;2,22;0,54;258,314;1,1;0,13;0,59;1,06;0,29;0,00215;0,00043;0,01437;0,06535;0,00258;0,0087
"30";"18";"Organic";"Sand";14,1227777777778;8258,6;252;14096;0,719101123595506;57,6;42;101;8;26;75,6;0;2;0;0;4,58;16;178;271,4;1322,4;92,4;28,2;1,44;2,568;2,34;0,48;283,962;1,1;0,12;0,57;1,14;0,25;0,00246;0,00044;0,0105;0,07154;0,00297;0,0087
"31";"19";"Organic";"Sand";14,1227777777778;8258,6;252;13255;0,898305084745763;43,2;31,5;93,5;6,5;26;56,7;0;2;0;0;4,88;16,6;660,2;231,2;1502;85,8;43,6;1,82;2,248;2,96;0,52;231,008;1,1;0,13;0,55;1,06;0,27;0,00239;0,00042;0,00921;0,05043;0,00251;0,007
"32";"22";"Organic";"Sand";14,1227777777778;8258,6;252;19773;0,957446808510638;57,6;42;101;8;26;75,6;0;2;0;0;4,54;16;182,6;289,6;1284,6;92,4;29,4;1,44;2,564;2,34;0,5;285,588;1;0,13;0,64;0,94;0,27;0,0022;0,00039;0,01106;0,05323;0,00267;0,009
"33";"23";"Organic";"Sand";14,1227777777778;8258,6;252;15597;0,98780487804878;43,2;31,5;93,5;6,5;26;56,7;0;2;0;0;4,54;16,4;186;296,8;1272,4;99;30,4;1,56;2,57;2,44;0,52;285,564;1,1;0,14;0,62;1,01;0,26;0,00245;4e-04;0,01455;0,07022;0,00273;0,0091
"34";"06A";"Organic";"Sand";13,6818681318681;9125,2;112;14096,6697185185;0,9359;28,656;20,895;86,177;5,009;253,796;37,611;0;2,024;0;0;4,8;13,4;100;90;1547;38;15;0,7;0,64;2;0,6;131,53;1,2;0,11;0,49;1,17;0,28;0,003;0,00036;0,00705;0,05203;0,00236;0,0195176
"35";"06A";"Organic";"Sand";14,1227777777778;8258,6;252;18568;0,9359;43,2;31,5;93,5;6,5;26;56,7;0;2;0;0;4,58;16,4;162;264,2;1312,4;81,4;26,8;1,28;2,028;2,28;0,52;260,034;1;0,15;0,57;1;0,28;0,00261;0,00039;0,00864;0,05405;0,00244;0,0068
"36";"11A";"Conventional";"Sand";15,4114754098361;6155,8;56;19068,6945045667;0,4615;35,25;11,5;37,1;8,64;43,05;0;0;0;0;0;4,7;21;133,6;260;1001,4;64;24,2;1,28;3,63;1,7;0,38;245,384;1,2;0,13;0,54;0,84;0,21;0,00209;0,00046;0,00582;0,04093;0,0022;0,0058
"37";"A01";"Organic";"Organic";13,6818681318681;9125,2;112;38587;1;42,6192;31,0765;122,3405;4,4395;215,594;55,9377;0;1,855;0;0;4,6;20;416;176;1205;92;51;2,7;2,9;2,5;0,8;204,79;1,3;0,11;0,45;1,21;0,25;0,00692;0,00035;0,00853;0,02023;0,00373;0,0163908
"38";"A01";"Organic";"Organic";14,1227777777778;8258,6;252;15894;1;39,7164;26,1755;117,1065;9,0275;188,606;45,6309;0;0,742;0;0;4,8;21;490;174;1098;156;79;3,5;3,99;3,5;0,6;323,99;1,2;0,14;0,59;0,99;0,22;0,00352;0,00042;0,00577;0,02561;0,00285;0,011296
"39";"A01";"Organic";"Organic";15,4114754098361;6155,8;56;33559;1;24,7296;18,032;61,38;2,576;17,46;32,4576;0;0;0;0;4,58;22;397;148,8;884,8;97;58;2,34;3,212;2,4;0,76;242,828;1,8;0,11;0,59;1,14;0,23;0,00322;0,00041;0,00585;0,02769;0,00324;0,0082
"40";"A02";"Organic";"Organic";13,6818681318681;9125,2;112;32628;1;43,6416;31,822;120,9335;4,546;212,12;57,2796;0;1,6975;0;0;4,5;20;444;182;823;108;70;2,6;6,11;3,5;0,5;261,46;1,3;0,11;0,45;1,32;0,28;0,00574;0,00036;0,0083;0,02091;0,0039;0,0173604
"41";"A02";"Organic";"Organic";14,1227777777778;8258,6;252;24833;1;39,3516;25,9095;119,2925;8,6835;194,534;45,1521;0;0,7;0;0;4,6;21;442;237;1322;154;80;2,8;4,1;3,2;0,3;331,41;1,2;0,14;0,65;0,92;0,23;0,00329;0,00041;0,00587;0,02425;0,00286;0,011326
"42";"A02";"Organic";"Organic";15,4114754098361;6155,8;56;35036;1;24,216;17,6575;61,8625;2,5225;17,73;31,7835;0;0;0;0;4,3;22;412;148;721;80;62;1,9;3,32;2;1;208,14;1,1;0,12;0,57;1,16;0,24;0,00363;0,00042;0,00531;0,03846;0,00322;0,00796
"43";"A03";"Organic";"Organic";13,6818681318681;9125,2;112;30577;1;43,7088;31,871;128,1766;4,553;221,7192;57,3678;0;2,226;0;0;5,2;20;447;250;862;204;88;2,2;2,96;2,6;0,5;296,36;1,1;0,11;0,5;0,96;0,22;0,00497;0,00033;0,00831;0,01427;0,00258;0,0179628
"44";"A03";"Organic";"Organic";14,1227777777778;8258,6;252;17803;1;39,2748;25,8535;119,1265;8,9815;204,446;45,0513;0;0,742;0;0;4,5;21;419;194;1484;137;65;2,2;4,79;2,8;0,5;290,25;1,1;0,12;0,64;1,12;0,23;0,00434;0,00046;0,00699;0,03105;0,00306;0,00688
"45";"A03";"Organic";"Organic";15,4114754098361;6155,8;56;29456;1;24,432;17,815;63,475;2,545;18,27;32,067;0;0;0;0;4,4;22;370;176;742;90;51;2,1;3,05;2;0,8;283,53;1;0,12;0,59;1,17;0,24;0,00407;0,00039;0,00773;0,03203;0,00333;0,00764
"46";"A04";"Organic";"Organic";13,6818681318681;9125,2;112;26061;0,85;48,7296;35,532;125,3091;5,076;301,4292;63,9576;0;1,9635;0;0;4,7;18;185;298;1045;90;28;1,7;2,16;2,1;0,5;229,62;1,2;0,13;0,58;1,1;0,22;0,00481;0,00039;0,00993;0,02653;0,00262;0,0179628
"47";"A04";"Organic";"Organic";14,1227777777778;8258,6;252;15894;0,85;49,1616;35,847;125,717;10,374;227,255;64,5246;0;0,721;0;0;4,5;19;211;317;1044;110;42;2,2;2,44;3,5;0,4;248,59;1,1;0,14;0,62;1,03;0,21;0,0041;0,00044;0,0063;0,02134;0,00233;0,00866
"48";"A04";"Organic";"Organic";15,4114754098361;6155,8;56;23151;0,85;58,2528;42,476;80,34;6,068;18;76,4568;0;0;0;0;4,5;20;118;333;964;77;25;1,3;2,72;2;0,5;256,38;1,1;0,14;0,6;1,15;0,25;0,00467;0,00046;0,00671;0,03164;0,00315;0,00862
"49";"A05";"Organic";"Organic";13,6818681318681;9125,2;112;27003;1;33,888;24,71;121,0186;3,53;313,7232;44,478;0;2,121;0;0;4,5;18;192;324;1137;78;27;1,7;2,86;2,5;0,5;224,66;1,3;0,13;0,56;1,24;0,25;0,00565;4e-04;0,01766;0,03658;0,00317;0,01775
"50";"A05";"Organic";"Organic";14,1227777777778;8258,6;252;19849;1;53,2368;38,8185;128,1515;10,9515;216,686;69,8733;0;0,742;0;0;4,7;19;172;311;1374;92;28;1,6;4,28;2,7;0,7;300,57;1,1;0,14;0,61;1,12;0,23;0,00453;0,00042;0,00926;0,02885;0,00278;0,018926
"51";"A05";"Organic";"Organic";15,4114754098361;6155,8;56;37476;1;58,1808;42,4235;80,3025;6,0605;18;76,3623;0;0;0;0;4,5;20;100;359;1197;60;19;0,8;2,6;2;0,5;260,88;1,1;0,15;0,69;1,14;0,24;0,00456;0,00049;0,00999;0,03032;0,00346;0,0179424
"52";"A06";"Organic";"Sand";13,6818681318681;9125,2;112;26495;0,983333333333333;48,5088;35,371;127,2871;5,053;303,6732;63,6678;0;2,0685;0;0;4,5;15;175;477;1235;81;29;1,5;2,91;2;0,4;311,3;1,4;0,13;0,52;1,35;0,27;0,00592;0,00043;0,01282;0,04547;0,00343;0,0180822
"53";"A06";"Organic";"Sand";14,1227777777778;8258,6;252;13386;0,983333333333333;47,784;34,8425;127,7683;10,8527;225,0504;62,7165;0;0,8064;0;0;4,4;16;230;428;1178;106;35;1,8;3,42;3,1;0,6;303,22;1,2;0,13;0,65;1,06;0,23;0,00411;0,00047;0,00614;0,02301;0,00271;0,00784
"54";"A06";"Organic";"Sand";15,4114754098361;6155,8;56;28508;0,983333333333333;57,9648;42,266;81,69;6,038;18,54;76,0788;0;0;0;0;4,5;17;112;422;1350;67;18;1,2;2,49;2;0,5;304,6;1,1;0,13;0,58;1,19;0,26;0,0037;0,00044;0,00809;0,02878;0,00337;0,00782
"55";"A07";"Organic";"Sand";13,6818681318681;9125,2;112;24418;1;48,216;35,1575;127,6276;5,0225;305,2512;63,2835;0;2,1735;0;0;4,7;15;169;283;1479;68;19;0,9;3,24;2;0,5;263,66;1,3;0,13;0,51;1,38;0,27;0,00473;0,00044;0,0121;0,04038;0,00373;0,0151376
"56";"A07";"Organic";"Sand";14,1227777777778;8258,6;252;14523;1;42,3312;30,8665;118,9735;9,2035;226,922;55,5597;0;0,658;0;0;4,5;16;152;264;1284;83;26;1,2;2,2;2;0,5;299,31;1,1;0,14;0,67;1,05;0,24;0,00422;0,00043;0,00694;0,02756;0,0027;0,0071
"57";"A07";"Organic";"Sand";15,4114754098361;6155,8;56;29456;1;57,9648;42,266;79,44;6,038;17,73;76,0788;0;0;0;0;4,6;17;101;202;1582;50;15;0,6;2,73;2;0,7;310,14;0,4;0,15;0,62;1,14;0,27;0,00395;4e-04;0,00672;0,03111;0,00321;0,00788
"58";"A08";"Organic";"Sand";13,6818681318681;9125,2;112;24845;0,873563218390805;48,4368;35,3185;127,9996;5,0455;305,2932;63,5733;0;2,0685;0;0;4,5;15;182;253;1462;94;27;1,7;3,41;2,4;0,4;329,08;1,2;0,12;0,54;1,31;0,24;0,00584;4e-04;0,00985;0,03557;0,0033;0,0191116
"59";"A08";"Organic";"Sand";14,1227777777778;8258,6;252;8545;0,873563218390805;47,0592;34,314;123,686;9,696;224,942;61,7652;0;0,658;0;0;4,7;16;129;173;1473;83;20;1,2;2,22;2;0,4;291,18;1,1;0,13;0,69;1,06;0,23;0,00408;0,00042;0,00625;0,02759;0,00287;0,00718
"60";"A08";"Organic";"Sand";15,4114754098361;6155,8;56;37017;0,873563218390805;58,032;42,315;80,225;6,045;18;76,167;0;0;0;0;5,5;17;127;349;1372;90;23;1,3;3,73;2;0,7;312,61;1,1;0,14;0,71;1,12;0,26;0,00413;4e-04;0,00771;0,03473;0,00282;0,00854
"61";"A09";"Organic";"Sand";13,6818681318681;9125,2;112;25767;1;45,0624;32,858;113,8165;4,694;291,152;59,1444;0;1,8025;0;0;4,7;15;137;240;1495;70;18;0,8;1,59;2;0,5;294,08;1,2;0,12;0,54;1,19;0,24;0,00574;0,00039;0,01356;0,05534;0,00316;0,017555
"62";"A09";"Organic";"Sand";14,1227777777778;8258,6;252;13955;1;47,712;34,79;125,712;10,223;234,365;62,622;0;0,721;0;0;4,5;16;184;348;1268;103;34;1,6;2,37;2,3;0,5;306,11;1,1;0,13;0,64;1,14;0,23;0,00436;5e-04;0,00659;0,03891;0,00319;0,00706
"63";"A09";"Organic";"Sand";15,4114754098361;6155,8;56;38412;1;58,4016;42,5845;79,6675;6,0835;17,73;76,6521;0;0;0;0;4,6;17;121;294;1385;67;18;0,7;2,26;2;0,6;303,5;1,1;0,14;0,56;1,19;0,26;0,0037;0,00043;0,00859;0,0426;0,00336;0,00798
"64";"A10";"Organic";"Sand";13,6818681318681;9125,2;112;26595;0,970588235294118;47,712;34,79;127,5186;4,97;314,8212;62,622;0;2,121;0;0;4,6;15;180;320;1145;82;26;1,7;4,48;2,2;0,4;224,21;1,3;0,13;0,56;1,25;0,25;0,00508;0,00043;0,00782;0,03686;0,00304;0,0162328
"65";"A10";"Organic";"Sand";14,1227777777778;8258,6;252;8970;0,970588235294118;48,2928;35,2135;125,7025;10,1305;227,204;63,3843;0;0,7;0;0;4,6;16;203;217;1408;93;28;1,5;3,32;2,3;0,5;259,3;1,2;0,14;0,61;1,18;0,26;0,00479;0,00049;0,00845;0,03738;0,00328;0,00836
"66";"A10";"Organic";"Sand";15,4114754098361;6155,8;56;42819;0,970588235294118;57,8208;42,161;80,115;6,023;18;75,8898;0;0;0;0;4,7;17;143;163;1497;65;20;0,9;3,42;2;0,7;240,94;1;0,12;0,63;1,18;0,25;0,00397;0,00047;0,00738;0,03995;0,00327;0,0148524
"67";"A11";"Organic";"Sand";13,6818681318681;9125,2;112;30737;0,984375;47,8512;34,8915;128,3411;4,9845;319,1412;62,8047;0;2,121;0;0;4,6;15;185;272;1299;81;26;1,7;3,23;2,1;0,4;247,33;1,3;0,14;0,6;1,31;0,25;0,0052;0,00047;0,00997;0,03653;0,00322;0,0179818
"68";"A11";"Organic";"Sand";14,1227777777778;8258,6;252;14356;0,984375;48,5088;35,371;124,627;10,306;224,285;63,6678;0;0,721;0;0;4,7;16;144;191;1285;77;24;1,1;1,51;2;0,4;260;1,1;0,13;0,65;1,08;0,24;0,00423;0,00042;0,00599;0,03901;0,00299;0,0081
"69";"A11";"Organic";"Sand";15,4114754098361;6155,8;56;41447;0,984375;57,672;42,0525;79,2875;6,0075;17,73;75,6945;0;0;0;0;4,5;17;113;314;1223;63;20;0,9;2,99;2;0,6;245,12;1;0,11;0,6;1,14;0,23;0,00347;0,00044;0,00794;0,03874;0,00301;0,0136424
"70";"B01";"Organic";"Organic";13,6818681318681;9125,2;112;31605;0,894736842105263;34,038;22,035;115,435;3,03;216,816;38,178;0;2,1;0;0;4,4;19;266;248;857;102;46;2;4,32;2;0,4;248,6;1,2;0,11;0,53;1,18;0,22;0,00561;0,00036;0,00822;0,02014;0,00289;0,0177468
"71";"B01";"Organic";"Organic";14,1227777777778;8258,6;252;20601;0,894736842105263;35,52;25,9;114,316;9,004;158,728;46,62;0;0,728;0;0;4,3;20;346;250;1054;126;65;2,9;5,26;2,6;0,4;347,8;1,1;0,13;0,59;1,02;0,22;0,0041;4e-04;0,00501;0,02564;0,00261;0,0083102
"72";"B01";"Organic";"Organic";15,4114754098361;6155,8;56;28718;0,894736842105263;40,416;29,47;45,05;4,21;8,64;53,046;0;0;0;0;4,4;21;286;216;880;82;51;2;3,07;2;0,6;238,17;1;0,11;0,6;1,15;0,23;0,00391;4e-04;0,00569;0,03636;0,0028;0,00914
"73";"B02";"Organic";"Organic";13,6818681318681;9125,2;112;40265;0,641304347826087;36,768;26,81;118,01;3,83;211,2;48,258;0;2,1;0;0;4,4;19;221;220;980;98;45;1,7;3,73;2;0,5;203,58;1,2;0,11;0,51;1,32;0,24;0,00524;0,00036;0,00757;0,02318;0,00286;0,0127812
"74";"B02";"Organic";"Organic";14,1227777777778;8258,6;252;17860;0,641304347826087;44,736;32,62;123,532;10,168;165,996;58,716;0;0,756;0;0;4,4;20;290;221;1120;107;52;2,1;5,07;2,4;0,4;278,07;1,1;0,12;0,57;1,23;0,23;0,00398;0,00039;0,00554;0,03646;0,00291;0,00904
"75";"B02";"Organic";"Organic";15,4114754098361;6155,8;56;37041;0,641304347826087;41,856;30,52;47,8;4,36;9,36;54,936;0;0;0;0;5;21;209;235;1010;76;30;1,2;2,76;2;0,7;245,91;1;0,1;0,59;1,36;0,21;0,0033;0,00037;0,00531;0,04244;0,00259;0,00832
"76";"B03";"Organic";"Organic";13,6818681318681;9125,2;112;34524;0,581395348837209;38,784;28,28;117,336;4,04;212,312;50,904;0;1,96;0;0;4,4;19;280;214;998;86;45;1,9;4,03;2;0,4;282,86;1,1;0,1;0,51;1,33;0,21;0,0056;3e-04;0,00809;0,02377;0,0025;0,0132412
"77";"B03";"Organic";"Organic";14,1227777777778;8258,6;252;19621;0,581395348837209;44,448;32,41;120,966;9,934;175,648;58,338;0;0,728;0;0;4,7;20;279;251;971;88;36;1,6;6,49;2,2;0,4;288,39;1,1;0,11;0,59;1,25;0,23;0,00456;0,00036;0,00622;0,03149;0,00278;0,014843
"78";"B03";"Organic";"Organic";15,4114754098361;6155,8;56;31007;0,581395348837209;43,296;31,57;74,55;4,51;18,72;56,826;0;0;0;0;4,7;21;333;184;881;81;54;1,7;2,13;2;0,9;291,69;1;0,1;0,62;1,27;0,21;0,00351;0,00037;0,00649;0,04842;0,00245;0,00882
"79";"B04";"Organic";"Organic";13,6818681318681;9125,2;112;30380;0,951219512195122;29,088;21,21;114,01;3,03;214,8;38,178;0;2,1;0;0;4,6;19;319;250;1104;82;41;1,8;5,06;2,3;0,6;236,49;1,2;0,09;0,46;1,25;0,24;0,00715;0,00035;0,00942;0,01826;0,00352;0,0172432
"80";"B04";"Organic";"Organic";14,1227777777778;8258,6;252;12480;0,951219512195122;33,888;24,71;116,466;8,834;179,608;44,478;0;0,728;0;0;4,5;20;287;213;1098;111;40;2,5;5,72;2,5;0,4;249,41;1,1;0,11;0,51;1,19;0,25;0,0041;0,00039;0,0054;0,02525;0,00345;0,00942
"81";"B04";"Organic";"Organic";15,4114754098361;6155,8;56;23054;0,951219512195122;39,072;28,49;70,35;4,07;18;51,282;0;0;0;0;4,4;21;236;163;917;51;28;1,1;1,72;2;1;179,7;1;0,11;0,55;1,17;0,24;0,00351;0,00041;0,00613;0,03075;0,00325;0,0086
"82";"B05";"Organic";"Organic";13,6818681318681;9125,2;112;31843;1;34,23;22,175;115,073;3,05;211,216;38,43;0;2,03;0;0;4,6;18;486;241;980;100;63;2,6;2,1;3,9;0,5;205,76;1,3;0,1;0,45;1,27;0,28;0,0085;0,00039;0,0118;0,02439;0,00416;0,0179628
"83";"B05";"Organic";"Organic";14,1227777777778;8258,6;252;17220;1;38,838;25,535;117,707;9,038;180,036;44,478;0;0,756;0;0;4,4;19;525;211;1050;113;65;3;3,89;4,5;0,5;257,84;1,2;0,13;0,5;1,24;0,29;0,00504;0,00044;0,0061;0,04363;0,00411;0,016394
