"";"Champs";"Regie";"Soil_type";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"337";"C07";"Organic";"Sand";13,6818681318681;9125,2;112;21535;0,714285714285714;44,3376;32,3295;119,4905;4,6185;312,97;58,1931;0;2,03;0;0;4,5;13;194;202;1447;76;25;1,3;2,14;2;0,5;127,24;0,012;0,0012;0,0061;0,0103;0,0023;0,00309;0,00038;0,00376;0,02359;0,00218;0,015821
"338";"C07";"Organic";"Sand";14,1227777777778;8258,6;252;15298;0,714285714285714;54,3612;36,854;146,6424;21,1058;244,7856;64,8522;1,8876;3,7752;0;0;4,4;14;184;245;1622;97;30;1,3;2,78;2;0,3;159,92;1,1;0,13;0,58;0,91;0,23;0,00253;0,00043;0,00442;0,02424;0,00223;0,00476
"339";"C07";"Organic";"Sand";15,4114754098361;6155,8;56;19632;0,714285714285714;43,488;31,71;72,8;4,53;18,054;57,078;0;0;0;0;4,7;15;210;242;1551;83;28;1,3;2,48;2;0,6;101,54;1,1;0,14;0,57;1;0,24;0,00299;0,00042;0,0046;0,03686;0,00266;0,00968
"340";"C08";"Organic";"Sand";13,6818681318681;9125,2;112;20647;0,478260869565217;44,9712;32,7915;121,7772;4,6845;314,0404;59,0247;0;2,2295;0;0;4,4;13;230;262;1384;89;31;1,9;3,61;2,3;0,5;179,03;0,012;0,0012;0,006;0,0102;0,0022;0,00279;0,00034;0,00384;0,01898;0,00207;0,0134704
"341";"C08";"Organic";"Sand";14,1227777777778;8258,6;252;8246;0,478260869565217;55,1916;37,4595;148,4687;21,5829;255,6558;65,9421;1,9338;3,8676;0;0;4,5;14;266;298;1335;126;42;1,9;5,74;2,9;0,4;219,92;1;0,12;0,63;0,77;0,22;0,00234;0,00047;0,00493;0,01758;0,00187;0,00532
"342";"C08";"Organic";"Sand";15,4114754098361;6155,8;56;19860;0,478260869565217;43,8864;32,0005;74,8575;4,5715;18,72;57,6009;0;0;0;0;4,4;15;157;314;1212;99;30;1,5;7,1;2;0,6;156,88;1,1;0,15;0,58;1,1;0,28;0,00349;0,00042;0,00439;0,03669;0,00249;0,01012
"343";"D01";"Organic";"Sand";13,6818681318681;9125,2;112;25066;0,23;43,2768;31,556;123,3859;4,508;316,5548;56,8008;0;2,4115;0;0;4,3;14;238;250;1225;80;40;1,4;4,18;2,6;0,6;256,19;0,012;0,0012;0,0063;0,0104;0,0025;0,00355;0,00031;0,00389;0,02446;0,00208;0,015614
"344";"D01";"Organic";"Sand";14,1227777777778;8258,6;252;14738;0,23;49,2816;35,9345;118,624;10,574;229,8825;64,6821;0,6435;1,287;0;0;4,5;15;220;226;1279;108;41;1,7;2,98;2,5;0,5;214;1,1;0,12;0,58;0,85;0,24;0,00308;0,00051;0,00385;0,02892;0,00206;0,0085
"345";"D01";"Organic";"Sand";15,4114754098361;6155,8;56;18184;0,23;55,2912;40,3165;80,1475;5,7595;18,486;72,5697;0;0;0;0;4,5;16;130;207;1162;72;26;1,1;2,65;2;0,5;164,27;1,2;0,15;0,72;1,12;0,3;0,00449;0,00039;0,00468;0,05323;0,00254;0,0097
"346";"D02";"Organic";"Sand";13,6818681318681;9125,2;112;24291;0,46;42,9408;31,311;126,2488;4,473;303,8036;56,3598;0;2,443;0;0;4,4;14;225;291;977;94;40;1,8;4,03;2,8;0,5;235,9;0,01;0,0012;0,0068;0,0094;0,0022;0,0038;0,00027;0,00353;0,02007;0,00184;0,0163658
"347";"D02";"Organic";"Sand";14,1227777777778;8258,6;252;11217;0,46;47,9904;34,993;118,2448;10,4116;220,8582;62,9874;0,6402;1,2804;0;0;4,5;15;200;223;1150;110;39;1,4;4,63;2,4;0,4;184,68;1,1;0,12;0,62;0,8;0,23;0,00285;0,00039;0,004;0,02298;0,00178;0,00472
"348";"D02";"Organic";"Sand";15,4114754098361;6155,8;56;19727;0,46;45,9408;33,4985;74,1775;4,7855;18,09;60,2973;0;0;0;0;4,5;16;150;198;1043;93;32;1,3;2,84;2;0,5;166,73;1,1;0,13;0,64;0,92;0,25;0,00344;0,00035;0,00449;0,03069;0,00188;0,00776
"349";"D03";"Organic";"Sand";13,6818681318681;9125,2;112;22255;0,31;44,0928;32,151;118,0355;4,593;300,75;57,8718;0;1,9425;0;0;4,2;14;172;198;1185;83;28;1,5;2,81;2;0,3;202,48;0,012;0,0012;0,006;0,0104;0,0025;0,00358;0,00034;0,00453;0,02593;0,00216;0,016143
"350";"D03";"Organic";"Sand";14,1227777777778;8258,6;252;14628;0,31;47,8176;34,867;120,6682;10,4494;223,7328;62,7606;0,6468;1,2936;0;0;4,5;15;227;341;1164;123;48;1,8;4,44;2,7;0,4;192,08;1,1;0,12;0,58;0,73;0,21;0,0026;0,00035;0,00329;0,02049;0,00164;0,00816
